vendor_code,name,TopBrand,TopCountry,TopCurrency,TopSalesMonth
1,1stWave Technologies,CORSAIR,New Zeland,NZD,11
2,Adorama,CRUCIAL,United States of America,USD,4
3,Alternate,G.SKILL,France,EUR,3
4,Alternate Italia,G.SKILL,Italy,EUR,3
5,Alza,KINGSTON,United Kingdom,GBP,12
7,Aquila Technology,KINGSTON,New Zeland,NZD,11
8,Aria PC,CORSAIR,United Kingdom,GBP,8
9,ARLT,KINGSTON,Germany,EUR,1
10,Ascent Technology,KINGSTON,New Zeland,NZD,1
11,AWD-IT,CORSAIR,United Kingdom,GBP,12
12,AX86 Gaming Systems,CORSAIR,Australia,AUD,3
13,B H,CRUCIAL,United States of America,USD,4
14,Best Buy,CORSAIR,United States of America,USD,3
15,Box Limited,KINGSTON,United Kingdom,GBP,8
16,BT Shop,KINGSTON,United Kingdom,GBP,7
17,Bytes At Work,G.SKILL,Belgium,EUR,1
18,Caseking,CORSAIR,Germany,EUR,10
20,Centre Com,CORSAIR,Australia,AUD,11
21,Computer Lounge,CORSAIR,New Zeland,NZD,1
22,Corsair,CORSAIR,United States of America,USD,11
23,Corsair DE,CORSAIR,Germany,EUR,2
24,Corsair UK,CORSAIR,United Kingdom,GBP,2
25,Custompcparts,CRUCIAL,Ireland,EUR,1
26,Dell,KINGSTON,United States of America,USD,10
27,Dell Small Business,KINGSTON,United States of America,USD,2
28,Directron,CRUCIAL,United States of America,USD,10
29,DTC Systems,CORSAIR,New Zeland,NZD,9
30,Ebuyer,CORSAIR,United Kingdom,GBP,7
31,Electronicamente,KINGSTON,Spain,EUR,3
33,IJK,G.SKILL,Australia,AUD,11
34,JW Computers,G.SKILL,Australia,AUD,2
35,Kogan,CORSAIR,Australia,AUD,7
36,Komplett,KINGSTON,Ireland,EUR,10
37,Kustom PCs,CORSAIR,United Kingdom,GBP,4
38,Laptops Direct,KINGSTON,United Kingdom,GBP,3
39,LDLC,G.SKILL,France,EUR,9
40,Memory Express,CORSAIR,Canada,CAD,8
41,Mighty Ape,G.SKILL,Australia,AUD,3
42,Mike's Computer Shop,CRUCIAL,Canada,CAD,3
44,Monoprice,VISIONTEK,United States of America,USD,10
45,More Computers,CORSAIR,United Kingdom,GBP,4
46,Mwave Australia,CORSAIR,Australia,AUD,10
47,Newegg,G.SKILL,United States of America,USD,6
48,Newegg Australia,G.SKILL,Australia,AUD,10
49,Newegg Business,G.SKILL,United States of America,USD,3
50,Newegg Canada,G.SKILL,Canada,CAD,12
51,Newegg Canada Marketplace,KINGSTON,Canada,CAD,8
52,Newegg Marketplace,G.SKILL,United States of America,USD,2
53,Novatech,KINGSTON,United Kingdom,GBP,3
55,OutletPC,G.SKILL,United States of America,USD,4
56,Overclockers.co.uk,CORSAIR,United Kingdom,GBP,2
57,Paradigm PCs,KINGSTON,New Zeland,NZD,5
58,PB Technologies,G.SKILL,New Zeland,NZD,9
59,PC Componentes,G.SKILL,Spain,EUR,5
60,PC Force,G.SKILL,New Zeland,NZD,11
61,PC World,CORSAIR,United Kingdom,GBP,1
62,PC World Business,KINGSTON,United Kingdom,GBP,7
63,PC-Canada,KINGSTON,Canada,CAD,3
64,PCCaseGear,CORSAIR,Australia,AUD,6
65,PCM,KINGSTON,United States of America,USD,6
66,Playtech,G.SKILL,New Zeland,NZD,12
67,PLE Computers,CORSAIR,Australia,AUD,4
69,RamCity,CRUCIAL,Australia,AUD,11
70,Scan.co.uk,CORSAIR,United Kingdom,GBP,11
71,Scorptec,CORSAIR,Australia,AUD,10
72,Senetic,KINGSTON,United Kingdom,GBP,4
73,Shopping Express,CORSAIR,Australia,AUD,10
74,shopRBC,KINGSTON,Canada,CAD,7
75,Skycomp Technology,G.SKILL,Australia,AUD,3
76,SmartTeck.co.uk,KINGSTON,United Kingdom,GBP,3
77,Storm Computers,CORSAIR,Australia,AUD,2
78,SuperBiiz,KINGSTON,United States of America,USD,1
79,Umart,G.SKILL,Australia,AUD,12
80,Vuugo,KINGSTON,Canada,CAD,1
81,YoYoTech,CRUCIAL,United Kingdom,GBP,3
